Timestamp,Operation,Original size (bytes),Encrypted size (bytes),Encryption time (s),Transmission time (s),Total time (s)
2024-12-01T17:32:03.885191,encrypt,306,504,0.000999,0.000000,0.000999
2024-12-01T17:32:04.436821,send_encrypted,306,504,0.002001,0.550629,0.552629
2024-12-01T17:32:26.333990,encrypt,306,504,0.000000,0.000000,0.000000
2024-12-01T17:32:26.994637,send_encrypted,306,504,0.002008,0.658627,0.660635
2024-12-01T17:32:42.636378,encrypt,304,504,0.000000,0.000000,0.000000
2024-12-01T17:32:45.990556,send_encrypted,304,504,0.003994,3.350214,3.354208
2024-12-01T17:32:58.948572,encrypt,304,504,0.000998,0.000000,0.000998
2024-12-01T17:33:00.215833,send_encrypted,304,504,0.004954,1.264316,1.269269
2024-12-01T17:33:15.227032,encrypt,306,504,0.000000,0.000000,0.000000
2024-12-01T17:33:15.970344,send_encrypted,306,504,0.000993,0.741273,0.742266
2024-12-01T17:33:31.534150,encrypt,306,504,0.000000,0.000000,0.000000
2024-12-01T17:33:31.919530,send_encrypted,306,504,0.003026,0.383416,0.386442
2024-12-01T17:33:47.828068,encrypt,306,504,0.000000,0.000000,0.000000
2024-12-01T17:33:50.326919,send_encrypted,306,504,0.000994,2.497848,2.498842
2024-12-01T17:34:04.133507,encrypt,306,504,0.000000,0.000000,0.000000
2024-12-01T17:34:04.790297,send_encrypted,306,504,0.000984,0.655806,0.656790
2024-12-01T17:34:20.438115,encrypt,306,504,0.000000,0.000000,0.000000
2024-12-01T17:34:20.780392,send_encrypted,306,504,0.001000,0.341277,0.342277
2024-12-01T17:34:36.737924,encrypt,304,504,0.000000,0.000000,0.000000
2024-12-01T17:34:38.106363,send_encrypted,304,504,0.002001,1.365394,1.367395
2024-12-01T17:34:53.025173,encrypt,307,504,0.001007,0.000000,0.001007
2024-12-01T17:34:53.529830,send_encrypted,307,504,0.001007,0.503647,0.504654
2024-12-01T17:35:09.331609,encrypt,307,504,0.000000,0.000000,0.000000
2024-12-01T17:35:09.499879,send_encrypted,307,504,0.001026,0.167243,0.168269
2024-12-01T17:35:25.632306,encrypt,306,504,0.000000,0.000000,0.000000
2024-12-01T17:35:25.904823,send_encrypted,306,504,0.003997,0.269588,0.273585
2024-12-01T17:35:41.933673,encrypt,307,504,0.000998,0.000000,0.000998
2024-12-01T17:35:43.675675,send_encrypted,307,504,0.004015,1.737004,1.741020
2024-12-01T17:35:58.232566,encrypt,305,504,0.000000,0.000000,0.000000
2024-12-01T17:35:58.772975,send_encrypted,305,504,0.001000,0.538403,0.539403
2024-12-01T17:36:14.529158,encrypt,304,504,0.000000,0.000000,0.000000
2024-12-01T17:36:14.892265,send_encrypted,304,504,0.004559,0.359541,0.364100
2024-12-01T17:36:30.832645,encrypt,306,504,0.000000,0.000000,0.000000
2024-12-01T17:36:31.595276,send_encrypted,306,504,0.000993,0.761638,0.762631
2024-12-01T17:36:47.154072,encrypt,306,504,0.000000,0.000000,0.000000
2024-12-01T17:36:47.724119,send_encrypted,306,504,0.002011,0.568060,0.570071
2024-12-01T17:37:03.440400,encrypt,306,504,0.000000,0.000000,0.000000
2024-12-01T17:37:04.382186,send_encrypted,306,504,0.000999,0.939824,0.940823
2024-12-01T17:37:19.738481,encrypt,306,504,0.000000,0.000000,0.000000
2024-12-01T17:37:21.155558,send_encrypted,306,504,0.001019,1.414048,1.415067
2024-12-01T17:37:42.179052,encrypt,306,504,0.000000,0.000000,0.000000
2024-12-01T17:37:42.950807,send_encrypted,306,504,0.001001,0.770541,0.771543
2024-12-01T17:37:58.494193,encrypt,305,504,0.000000,0.000000,0.000000
