Block ID,Device ID,Timestamp,AHT10_1 Temperature,AHT10_1 Humidity,AHT10_2 Temperature,AHT10_2 Humidity,DS18B20_1 Temperature,DS18B20_2 Temperature,Light level 1,Light level 2,Soil moisture 1,Soil moisture 2,TTN time,Confirmation time,Response time,Explorer URL,Confirmed
0xb3116a8f22d110072751cf5e6dc54c89e9b723aca6bf2975e641dd0c21737b40,device-esp32-tfe,2024-12-06T12:39:36.547868,25.0,65.0,25.0,65.0,22.0,22.0,60.0,60.0,15.0,15.0,2024-12-06T12:39:35.416994,2024-12-06T12:39:36.699771,1.28,https://explorer.shimmer.network/testnet/block/0xb3116a8f22d110072751cf5e6dc54c89e9b723aca6bf2975e641dd0c21737b40,True
0x305510317d310c192102bd81c217df0741cb99d67da5f9d6c0f6ff5f133a37e3,device-esp32-tfe,2024-12-06T12:39:52.861396,25.0,65.0,25.0,65.0,22.0,22.0,60.0,60.0,15.0,15.0,2024-12-06T12:39:51.743928,2024-12-06T12:39:53.016206,1.27,https://explorer.shimmer.network/testnet/block/0x305510317d310c192102bd81c217df0741cb99d67da5f9d6c0f6ff5f133a37e3,True
0xfaf895e94de5d1d2cd3c42427f756283fadfd34a77be6f8863da9ef2a79539b8,device-esp32-tfe,2024-12-06T12:40:08.995208,25.0,65.0,25.0,65.0,22.0,22.0,60.0,60.0,15.0,15.0,2024-12-06T12:40:08.030571,2024-12-06T12:40:09.142996,1.11,https://explorer.shimmer.network/testnet/block/0xfaf895e94de5d1d2cd3c42427f756283fadfd34a77be6f8863da9ef2a79539b8,True
0x5bbb65c4372869146f995fa9bb7bf73ad8600fb2f1a369980a91a8c014fed029,device-esp32-tfe,2024-12-06T12:40:25.197148,25.0,65.0,25.0,65.0,22.0,22.0,60.0,60.0,15.0,15.0,2024-12-06T12:40:24.356360,2024-12-06T12:40:25.347154,0.99,https://explorer.shimmer.network/testnet/block/0x5bbb65c4372869146f995fa9bb7bf73ad8600fb2f1a369980a91a8c014fed029,True
0xb0ef01d5a5a8584f349e29a48ce6b65c9d99afe1cd5c2e204148bf44a0ac9eeb,device-esp32-tfe,2024-12-06T12:40:48.200544,25.0,65.0,25.0,65.0,22.0,22.0,60.0,60.0,15.0,15.0,2024-12-06T12:40:47.808415,2024-12-06T12:40:48.329403,0.52,https://explorer.shimmer.network/testnet/block/0xb0ef01d5a5a8584f349e29a48ce6b65c9d99afe1cd5c2e204148bf44a0ac9eeb,True
0x01210a2067259ef65af1b5d808658e19589a522a8a44090acc37e5917b4755cb,device-esp32-tfe,2024-12-06T12:41:04.422216,25.0,65.0,25.0,65.0,22.0,22.0,60.0,60.0,15.0,15.0,2024-12-06T12:41:04.138542,2024-12-06T12:41:04.559076,0.42,https://explorer.shimmer.network/testnet/block/0x01210a2067259ef65af1b5d808658e19589a522a8a44090acc37e5917b4755cb,True
0x472f7f2ca769f17279f0290507bfa1ce25d10bfe47fc010348b08180e4649702,device-esp32-tfe,2024-12-06T12:41:23.200903,25.0,65.0,25.0,65.0,22.0,22.0,60.0,60.0,15.0,15.0,2024-12-06T12:41:20.430913,2024-12-06T12:41:23.457520,3.03,https://explorer.shimmer.network/testnet/block/0x472f7f2ca769f17279f0290507bfa1ce25d10bfe47fc010348b08180e4649702,True
0x9004b88776a52fd6f3f11034546eef1cd71fdb97f209b6e032d747a345c939c6,device-esp32-tfe,2024-12-06T12:41:37.490461,25.0,65.0,25.0,65.0,22.0,22.0,60.0,60.0,15.0,15.0,2024-12-06T12:41:36.744830,2024-12-06T12:41:37.700647,0.96,https://explorer.shimmer.network/testnet/block/0x9004b88776a52fd6f3f11034546eef1cd71fdb97f209b6e032d747a345c939c6,True
0x1838ca95fd20cc8c8cbdcab193786326c735b784f28d2b02421c6e01bcd69cde,device-esp32-tfe,2024-12-06T12:41:53.351944,25.0,65.0,25.0,65.0,22.0,22.0,60.0,60.0,15.0,15.0,2024-12-06T12:41:53.052866,2024-12-06T12:41:53.571120,0.52,https://explorer.shimmer.network/testnet/block/0x1838ca95fd20cc8c8cbdcab193786326c735b784f28d2b02421c6e01bcd69cde,True
0x1afe3bf261e8584197436378030ca51fa537c9a2a028af07a0aa52b0b0f6e2ae,device-esp32-tfe,2024-12-06T12:42:10.139652,25.0,65.0,25.0,65.0,22.0,22.0,60.0,60.0,15.0,15.0,2024-12-06T12:42:09.370406,2024-12-06T12:42:10.253927,0.88,https://explorer.shimmer.network/testnet/block/0x1afe3bf261e8584197436378030ca51fa537c9a2a028af07a0aa52b0b0f6e2ae,True
0x4a391da67bcaaeb605c322d4fe1faa84e1dcf59bf7adbb6b013e8cfdba408820,device-esp32-tfe,2024-12-06T12:42:26.528786,25.0,65.0,25.0,65.0,22.0,22.0,60.0,60.0,15.0,15.0,2024-12-06T12:42:25.671076,2024-12-06T12:42:26.760681,1.09,https://explorer.shimmer.network/testnet/block/0x4a391da67bcaaeb605c322d4fe1faa84e1dcf59bf7adbb6b013e8cfdba408820,True
0xea1d42bb9d8476963db7c6bce89e6fce6841af0c6028d47ff8a6a96dbc617f49,device-esp32-tfe,2024-12-06T12:42:42.143304,25.0,65.0,25.0,65.0,22.0,22.0,60.0,60.0,15.0,15.0,2024-12-06T12:42:41.990650,2024-12-06T12:42:42.268163,0.28,https://explorer.shimmer.network/testnet/block/0xea1d42bb9d8476963db7c6bce89e6fce6841af0c6028d47ff8a6a96dbc617f49,True
0x65da72c5fce41e03021a8cf0772580a71b1f03cb65dff88dcdccc9abefaddc2b,device-esp32-tfe,2024-12-06T12:42:59.551459,25.0,65.0,25.0,65.0,22.0,22.0,60.0,60.0,15.0,15.0,2024-12-06T12:42:58.291779,2024-12-06T12:42:59.766909,1.48,https://explorer.shimmer.network/testnet/block/0x65da72c5fce41e03021a8cf0772580a71b1f03cb65dff88dcdccc9abefaddc2b,True
0x554c742b27e6146d32e3635d3646f2c6cf36ae022f4eb2b549efc652634d9d87,device-esp32-tfe,2024-12-06T12:43:14.752970,25.0,65.0,25.0,65.0,22.0,22.0,60.0,60.0,15.0,15.0,2024-12-06T12:43:14.609844,2024-12-06T12:43:14.875960,0.27,https://explorer.shimmer.network/testnet/block/0x554c742b27e6146d32e3635d3646f2c6cf36ae022f4eb2b549efc652634d9d87,True
0xb0759a6ec8cbc281736d8107963b2145db69da87c8d5618bfb75d76e4d6b82a5,device-esp32-tfe,2024-12-06T12:43:32.145950,25.0,65.0,25.0,65.0,22.0,22.0,60.0,60.0,15.0,15.0,2024-12-06T12:43:30.917521,2024-12-06T12:43:32.344116,1.43,https://explorer.shimmer.network/testnet/block/0xb0759a6ec8cbc281736d8107963b2145db69da87c8d5618bfb75d76e4d6b82a5,True
0xb059e8c0a53f9825b0c1fdbe98b9199e91591222c3d098237c6afb9ddae14c2b,device-esp32-tfe,2024-12-06T12:43:47.490645,25.0,65.0,25.0,65.0,22.0,22.0,60.0,60.0,15.0,15.0,2024-12-06T12:43:47.233938,2024-12-06T12:43:47.638969,0.41,https://explorer.shimmer.network/testnet/block/0xb059e8c0a53f9825b0c1fdbe98b9199e91591222c3d098237c6afb9ddae14c2b,True
0x01e4a2ea1e66450ed559ca1f20f814513c6aa6be7a39b810340a4fafb3b34a4f,device-esp32-tfe,2024-12-06T12:44:04.378548,25.0,65.0,25.0,65.0,22.0,22.0,60.0,60.0,15.0,15.0,2024-12-06T12:44:03.534099,2024-12-06T12:44:04.522711,0.99,https://explorer.shimmer.network/testnet/block/0x01e4a2ea1e66450ed559ca1f20f814513c6aa6be7a39b810340a4fafb3b34a4f,True
0x41c391e4bfaa3057d7cb41b50d8041ecca4af0317f2918c7cb2c55486de9fa9e,device-esp32-tfe,2024-12-06T12:44:20.141808,25.0,65.0,25.0,65.0,22.0,22.0,60.0,60.0,15.0,15.0,2024-12-06T12:44:19.855322,2024-12-06T12:44:20.269377,0.41,https://explorer.shimmer.network/testnet/block/0x41c391e4bfaa3057d7cb41b50d8041ecca4af0317f2918c7cb2c55486de9fa9e,True
