Block ID,Device ID,Timestamp,AHT10 Temperature,AHT10 Humidity,DS18B20_1 Temperature,Light level 1,Soil moisture 1,DS18B20_2 Temperature,Light level 2,Soil moisture 2,TTN time,Confirmation time,Response time,Explorer URL,Confirmed
0x8e3ab574c1382ad0057278c01b31cd59a39508bb01167484b1fda8f9040f9dcd,device-esp32-tfe,2024-12-06T12:56:41.262473,25.0,65.0,22.0,60.0,15.0,25.0,65.0,22.0,2024-12-06T12:56:40.383664,2024-12-06T12:56:41.480374,1.1,https://explorer.shimmer.network/testnet/block/0x8e3ab574c1382ad0057278c01b31cd59a39508bb01167484b1fda8f9040f9dcd,True
0x088165de849f821c7c54111f95258ddc5c1327c1309a41a8dd49e4ec0fdd9166,device-esp32-tfe,2024-12-06T12:56:57.175492,25.0,65.0,22.0,60.0,15.0,25.0,65.0,22.0,2024-12-06T12:56:56.681566,2024-12-06T12:56:57.326520,0.64,https://explorer.shimmer.network/testnet/block/0x088165de849f821c7c54111f95258ddc5c1327c1309a41a8dd49e4ec0fdd9166,True
0xc08a2cb8edf27ec766e0bffa705cffba4180324183579212aa4afb7dc14d1144,device-esp32-tfe,2024-12-06T12:57:13.302235,25.0,65.0,22.0,60.0,15.0,25.0,65.0,22.0,2024-12-06T12:57:12.996637,2024-12-06T12:57:13.441021,0.44,https://explorer.shimmer.network/testnet/block/0xc08a2cb8edf27ec766e0bffa705cffba4180324183579212aa4afb7dc14d1144,True
0xc4522d9649eefd6c5230a6626a24745fa0c2c5b2334be694e9ee96aa7cff37c2,device-esp32-tfe,2024-12-06T12:57:30.313795,25.0,65.0,22.0,60.0,15.0,25.0,65.0,22.0,2024-12-06T12:57:29.302886,2024-12-06T12:57:30.538260,1.24,https://explorer.shimmer.network/testnet/block/0xc4522d9649eefd6c5230a6626a24745fa0c2c5b2334be694e9ee96aa7cff37c2,True
0x3b6566a0ce2fe282837270902fb00c2adee7b01ba98828146c5a5c874f892570,device-esp32-tfe,2024-12-06T12:57:46.209250,25.0,65.0,22.0,60.0,15.0,25.0,65.0,22.0,2024-12-06T12:57:45.596840,2024-12-06T12:57:46.361510,0.76,https://explorer.shimmer.network/testnet/block/0x3b6566a0ce2fe282837270902fb00c2adee7b01ba98828146c5a5c874f892570,True
0xb295c66c290bdeda6cb0a3d585531ea9dc3c3702aca0195925b1beab5c90e243,device-esp32-tfe,2024-12-06T12:58:02.431739,25.0,65.0,22.0,60.0,15.0,25.0,65.0,22.0,2024-12-06T12:58:01.916664,2024-12-06T12:58:02.552157,0.64,https://explorer.shimmer.network/testnet/block/0xb295c66c290bdeda6cb0a3d585531ea9dc3c3702aca0195925b1beab5c90e243,True
0x5db996d001c6cf9d31316d935a09b636d45652e75ba392adaf0c637e79cda224,device-esp32-tfe,2024-12-06T12:58:18.441984,25.0,65.0,22.0,60.0,15.0,25.0,65.0,22.0,2024-12-06T12:58:18.210487,2024-12-06T12:58:18.648083,0.44,https://explorer.shimmer.network/testnet/block/0x5db996d001c6cf9d31316d935a09b636d45652e75ba392adaf0c637e79cda224,True
0x78e0b40a0c4fbc5a7ad195c26e29ed7cbe06c5d273bcb68c4a9bc267c933d26d,device-esp32-tfe,2024-12-06T12:58:35.546129,25.0,65.0,22.0,60.0,15.0,25.0,65.0,22.0,2024-12-06T12:58:34.517968,2024-12-06T12:58:35.711490,1.19,https://explorer.shimmer.network/testnet/block/0x78e0b40a0c4fbc5a7ad195c26e29ed7cbe06c5d273bcb68c4a9bc267c933d26d,True
0xf8d634b1036baef7eef2f14e92697d2e918d2ed02d18b9b0f8ef9d1918f6c6b2,device-esp32-tfe,2024-12-06T12:58:51.792053,25.0,65.0,22.0,60.0,15.0,25.0,65.0,22.0,2024-12-06T12:58:50.829489,2024-12-06T12:58:51.991709,1.16,https://explorer.shimmer.network/testnet/block/0xf8d634b1036baef7eef2f14e92697d2e918d2ed02d18b9b0f8ef9d1918f6c6b2,True
0x85db98d5ea9b2ab8d3b192da6922956bf8eba75daeb26526c2731f0c5418f8a5,device-esp32-tfe,2024-12-06T12:59:07.487929,25.0,65.0,22.0,60.0,15.0,25.0,65.0,22.0,2024-12-06T12:59:07.130964,2024-12-06T12:59:07.699668,0.57,https://explorer.shimmer.network/testnet/block/0x85db98d5ea9b2ab8d3b192da6922956bf8eba75daeb26526c2731f0c5418f8a5,True
0xcb8c297e6c87e624b4a8cb6922eda447eedccee17fa42b57ab020cbd796b7641,device-esp32-tfe,2024-12-06T12:59:23.742879,25.0,65.0,22.0,60.0,15.0,25.0,65.0,22.0,2024-12-06T12:59:23.436448,2024-12-06T12:59:23.902445,0.47,https://explorer.shimmer.network/testnet/block/0xcb8c297e6c87e624b4a8cb6922eda447eedccee17fa42b57ab020cbd796b7641,True
0x811376381f6b57ccadd9d41a6109be0a570af9945e327d0bcbd566a8cba18590,device-esp32-tfe,2024-12-06T12:59:40.286885,25.0,65.0,22.0,60.0,15.0,25.0,65.0,22.0,2024-12-06T12:59:39.751090,2024-12-06T12:59:40.431814,0.68,https://explorer.shimmer.network/testnet/block/0x811376381f6b57ccadd9d41a6109be0a570af9945e327d0bcbd566a8cba18590,True
0xcdd3ef631d462fc8663c4ed78b53fdc795bd804fe3d38b04c565f72cf625ee5b,device-esp32-tfe,2024-12-06T12:59:56.823338,25.0,65.0,22.0,60.0,15.0,25.0,65.0,22.0,2024-12-06T12:59:56.035475,2024-12-06T12:59:57.045751,1.01,https://explorer.shimmer.network/testnet/block/0xcdd3ef631d462fc8663c4ed78b53fdc795bd804fe3d38b04c565f72cf625ee5b,True
0x28c90024110c193b19beb8e1acb4de87fe4d1dc5e4137e9c6a74e6adeae29f20,device-esp32-tfe,2024-12-06T13:00:12.883274,25.0,65.0,22.0,60.0,15.0,25.0,65.0,22.0,2024-12-06T13:00:12.338017,2024-12-06T13:00:13.045722,0.71,https://explorer.shimmer.network/testnet/block/0x28c90024110c193b19beb8e1acb4de87fe4d1dc5e4137e9c6a74e6adeae29f20,True
0xf8689b002adf7fa387e687a7715ca3b700e60f5f21e36b7ad4ec9afcc62758d0,device-esp32-tfe,2024-12-06T13:00:29.296040,25.0,65.0,22.0,60.0,15.0,25.0,65.0,22.0,2024-12-06T13:00:28.642787,2024-12-06T13:00:29.437988,0.8,https://explorer.shimmer.network/testnet/block/0xf8689b002adf7fa387e687a7715ca3b700e60f5f21e36b7ad4ec9afcc62758d0,True
0xcd95b725157ddeda3c7f64be64d129333459c068a9240efd563b69f1bffd3e24,device-esp32-tfe,2024-12-06T13:00:45.283115,25.0,65.0,22.0,60.0,15.0,25.0,65.0,22.0,2024-12-06T13:00:44.958561,2024-12-06T13:00:45.456654,0.5,https://explorer.shimmer.network/testnet/block/0xcd95b725157ddeda3c7f64be64d129333459c068a9240efd563b69f1bffd3e24,True
0x3f3f40a1325b69398909461d41fb4a55ad1b116ce3209e4065068cdfb08abf2c,device-esp32-tfe,2024-12-06T13:01:01.880091,25.0,65.0,22.0,60.0,15.0,25.0,65.0,22.0,2024-12-06T13:01:01.266172,2024-12-06T13:01:02.031408,0.77,https://explorer.shimmer.network/testnet/block/0x3f3f40a1325b69398909461d41fb4a55ad1b116ce3209e4065068cdfb08abf2c,True
0xef959d984273ad6eb44c1f3ff2d4b52c8caec35ee385bb92f0a9370951a86b41,device-esp32-tfe,2024-12-06T13:01:17.845538,25.0,65.0,22.0,60.0,15.0,25.0,65.0,22.0,2024-12-06T13:01:17.565173,2024-12-06T13:01:18.005925,0.44,https://explorer.shimmer.network/testnet/block/0xef959d984273ad6eb44c1f3ff2d4b52c8caec35ee385bb92f0a9370951a86b41,True
0x625f4cc207403e36a6923db0014b94aec4d5a43d8a27f21eda0f6d9de5c5e571,device-esp32-tfe,2024-12-06T13:01:46.412914,25.0,65.0,22.0,60.0,15.0,25.0,65.0,22.0,2024-12-06T13:01:46.116909,2024-12-06T13:01:46.546295,0.43,https://explorer.shimmer.network/testnet/block/0x625f4cc207403e36a6923db0014b94aec4d5a43d8a27f21eda0f6d9de5c5e571,True
