Timestamp,Operation,Original size (bytes),Encrypted size (bytes),Encryption time (s),Transmission time (s),Total time (s)
2024-12-06T19:47:44.643913,encrypt,314,504,0.000000,0.000000,0.000000
2024-12-06T19:47:44.932656,send_encrypted,314,504,0.000999,0.284727,0.285727
2024-12-06T19:48:24.877928,encrypt,312,504,0.000000,0.000000,0.000000
2024-12-06T19:48:25.258076,send_encrypted,312,504,0.001000,0.378116,0.379116
2024-12-06T19:48:59.165377,encrypt,311,504,0.000000,0.000000,0.000000
2024-12-06T19:49:02.535285,send_encrypted,311,504,0.001003,3.367884,3.368886
2024-12-06T19:49:34.791214,encrypt,312,504,0.000000,0.000000,0.000000
2024-12-06T19:49:35.014036,send_encrypted,312,504,0.000997,0.219824,0.220821
2024-12-06T19:51:18.631887,encrypt,310,504,0.001003,0.000000,0.001003
2024-12-06T19:51:18.900173,send_encrypted,310,504,0.002007,0.264225,0.266232
2024-12-06T19:53:03.195206,encrypt,313,504,0.000000,0.000000,0.000000
2024-12-06T19:53:03.828746,send_encrypted,313,504,0.000957,0.629080,0.630037
2024-12-06T19:53:41.022197,encrypt,315,504,0.000000,0.000000,0.000000
2024-12-06T19:53:41.244406,send_encrypted,315,504,0.001003,0.219232,0.220235
2024-12-06T19:55:22.009651,encrypt,312,504,0.000000,0.000000,0.000000
2024-12-06T19:55:23.019100,send_encrypted,312,504,0.000999,1.006447,1.007446
2024-12-06T19:55:59.216917,encrypt,312,504,0.000000,0.000000,0.000000
2024-12-06T19:55:59.421775,send_encrypted,312,504,0.002001,0.202862,0.204863
2024-12-06T19:56:37.382795,encrypt,314,504,0.001002,0.000000,0.001002
2024-12-06T19:56:38.287022,send_encrypted,314,504,0.001002,0.902220,0.903222
2024-12-06T19:57:17.251417,encrypt,314,504,0.000000,0.000000,0.000000
2024-12-06T19:57:17.498506,send_encrypted,314,504,0.000996,0.243400,0.244396
2024-12-06T19:57:57.454531,encrypt,314,504,0.000000,0.000000,0.000000
2024-12-06T19:57:58.009401,send_encrypted,314,504,0.001008,0.552863,0.553870
2024-12-06T19:58:34.076366,encrypt,311,504,0.000000,0.000000,0.000000
2024-12-06T19:58:35.413958,send_encrypted,311,504,0.000999,1.335085,1.336084
2024-12-06T19:59:09.624915,encrypt,314,504,0.000954,0.000000,0.000954
2024-12-06T19:59:10.903938,send_encrypted,314,504,0.001965,1.277014,1.278978
2024-12-06T20:00:27.730320,encrypt,312,504,0.000000,0.000000,0.000000
2024-12-06T20:00:27.970674,send_encrypted,312,504,0.000999,0.234366,0.235365
2024-12-06T20:00:28.135792,encrypt,315,504,0.000000,0.000000,0.000000
2024-12-06T20:00:28.988340,send_encrypted,315,504,0.000996,0.850562,0.851558
2024-12-06T20:01:00.647476,encrypt,314,504,0.000000,0.000000,0.000000
2024-12-06T20:01:02.508963,send_encrypted,314,504,0.000997,1.854871,1.855868
2024-12-06T20:01:35.670146,encrypt,314,504,0.000999,0.000000,0.000999
2024-12-06T20:01:37.437746,send_encrypted,314,504,0.002019,1.765593,1.767611
2024-12-06T20:02:12.954176,encrypt,315,504,0.000000,0.000000,0.000000
2024-12-06T20:02:13.786006,send_encrypted,315,504,0.001966,0.829803,0.831769
2024-12-06T20:02:49.829753,encrypt,312,504,0.000000,0.000000,0.000000
2024-12-06T20:02:50.338070,send_encrypted,312,504,0.000998,0.506317,0.507315
2024-12-06T20:03:30.840123,encrypt,313,504,0.000000,0.000000,0.000000
2024-12-06T20:03:31.456665,send_encrypted,313,504,0.002002,0.609957,0.611959
2024-12-06T20:04:07.375495,encrypt,314,504,0.000975,0.000000,0.000975
2024-12-06T20:04:07.637043,send_encrypted,314,504,0.001977,0.256150,0.258127
2024-12-06T20:04:48.243216,encrypt,314,504,0.000000,0.000000,0.000000
2024-12-06T20:04:48.820431,send_encrypted,314,504,0.001005,0.570232,0.571237
2024-12-06T20:05:22.587956,encrypt,313,504,0.000000,0.000000,0.000000
2024-12-06T20:05:23.503202,send_encrypted,313,504,0.001968,0.907720,0.909688
2024-12-06T20:05:57.199879,encrypt,312,504,0.000000,0.000000,0.000000
2024-12-06T20:06:00.629157,send_encrypted,312,504,0.001680,3.423642,3.425322
2024-12-06T20:06:33.519179,encrypt,314,504,0.001001,0.000000,0.001001
2024-12-06T20:06:33.936278,send_encrypted,314,504,0.001001,0.416098,0.417100
2024-12-06T20:07:12.853257,encrypt,314,504,0.000000,0.000000,0.000000
2024-12-06T20:07:14.469879,send_encrypted,314,504,0.002017,1.614611,1.616628
2024-12-06T20:09:01.407977,encrypt,313,504,0.000000,0.000000,0.000000
2024-12-06T20:09:01.991736,send_encrypted,313,504,0.001012,0.581272,0.582283
2024-12-06T20:09:36.364347,encrypt,311,504,0.000000,0.000000,0.000000
2024-12-06T20:09:36.679329,send_encrypted,311,504,0.000967,0.312031,0.312997
2024-12-06T20:10:16.723736,encrypt,312,504,0.000000,0.000000,0.000000
2024-12-06T20:10:18.035324,send_encrypted,312,504,0.001002,1.309587,1.310588
2024-12-06T20:10:55.419455,encrypt,314,504,0.000000,0.000000,0.000000
2024-12-06T20:10:56.735897,send_encrypted,314,504,0.001342,1.316442,1.317784
2024-12-06T20:11:30.392204,encrypt,314,504,0.000000,0.000000,0.000000
2024-12-06T20:11:31.605733,send_encrypted,314,504,0.001009,1.210515,1.211524
2024-12-06T20:12:11.927844,encrypt,312,504,0.000000,0.000000,0.000000
2024-12-06T20:12:13.195053,send_encrypted,312,504,0.001000,1.261178,1.262178
2024-12-06T20:12:53.336197,encrypt,314,504,0.000000,0.000000,0.000000
2024-12-06T20:12:53.809667,send_encrypted,314,504,0.002007,0.466410,0.468416
2024-12-06T20:13:30.879947,encrypt,314,504,0.000000,0.000000,0.000000
