Block ID,Device ID,Timestamp,AHT10 Temperature,AHT10 Humidity,DS18B20 Temperature,Light level,Soil moisture,TTN time,Confirmation time,Response time,Explorer URL,Confirmed
0xc4af023eaeea17f1b05d6b593f3763339b4e7611e28b4e6bc4189316820f89c1,device-esp32-tfe,2024-12-06T19:38:07.902996,14.56,75.54,14.12,0.0,33.0,2024-12-06T19:38:07.238906,2024-12-06T19:38:08.042964,0.8,https://explorer.shimmer.network/testnet/block/0xc4af023eaeea17f1b05d6b593f3763339b4e7611e28b4e6bc4189316820f89c1,True
0x1a4216a2393600801835ae335167e214e894b3bb52b34124de6b0e283f431a82,device-esp32-tfe,2024-12-06T19:38:49.000682,14.51,75.54,14.0,0.0,33.0,2024-12-06T19:38:47.893059,2024-12-06T19:38:49.126742,1.23,https://explorer.shimmer.network/testnet/block/0x1a4216a2393600801835ae335167e214e894b3bb52b34124de6b0e283f431a82,True
0x2e30df1d31e3a9601747aab6a7d02f9e5075a38fc3d96f7a13ca6cd81408fc35,device-esp32-tfe,2024-12-06T19:39:30.080870,14.47,75.68,14.0,0.0,33.0,2024-12-06T19:39:25.431280,2024-12-06T19:39:30.200813,4.77,https://explorer.shimmer.network/testnet/block/0x2e30df1d31e3a9601747aab6a7d02f9e5075a38fc3d96f7a13ca6cd81408fc35,True
0x8cb07e5371345efcef1b031317daaaf9aaae5292af7eb1941054492af6fce5b7,device-esp32-tfe,2024-12-06T19:40:03.704754,14.44,75.95,14.06,0.0,33.0,2024-12-06T19:40:03.362347,2024-12-06T19:40:03.852958,0.49,https://explorer.shimmer.network/testnet/block/0x8cb07e5371345efcef1b031317daaaf9aaae5292af7eb1941054492af6fce5b7,True
0x3a5a6909addfa84dad1f10d1166a4076c4a1849cb63d6f3f014243216d6d6ba1,device-esp32-tfe,2024-12-06T19:40:42.594504,14.4,76.12,14.0,0.0,33.0,2024-12-06T19:40:41.687300,2024-12-06T19:40:42.723818,1.04,https://explorer.shimmer.network/testnet/block/0x3a5a6909addfa84dad1f10d1166a4076c4a1849cb63d6f3f014243216d6d6ba1,True
0xd5b5cb472e4603963bbaa7333d746d325b9d8af2189aa4733efbc17a72065d83,device-esp32-tfe,2024-12-06T19:41:22.435508,14.37,76.3,14.06,0.0,33.0,2024-12-06T19:41:21.903126,2024-12-06T19:41:22.584651,0.68,https://explorer.shimmer.network/testnet/block/0xd5b5cb472e4603963bbaa7333d746d325b9d8af2189aa4733efbc17a72065d83,True
0xb6781793375cdc10308f37c2e4bd21b5c44624814901cb1711813449cbfe697b,device-esp32-tfe,2024-12-06T19:43:15.962069,14.33,75.96,14.12,0.0,33.0,2024-12-06T19:43:13.418946,2024-12-06T19:43:16.078035,2.66,https://explorer.shimmer.network/testnet/block/0xb6781793375cdc10308f37c2e4bd21b5c44624814901cb1711813449cbfe697b,True
0x2ee0426951cdafcee1e8d496eb5d654bfbb5cc3aeb32e88a652ab390f23fac9d,device-esp32-tfe,2024-12-06T19:43:55.450557,14.23,76.38,13.87,0.0,33.0,2024-12-06T19:43:54.153162,2024-12-06T19:43:55.595827,1.44,https://explorer.shimmer.network/testnet/block/0x2ee0426951cdafcee1e8d496eb5d654bfbb5cc3aeb32e88a652ab390f23fac9d,True
0x2b21308b6a3ff3586d232827adcb61fe251ee56970e9d16abe488b82ff60c5d1,device-esp32-tfe,2024-12-06T19:44:32.825572,14.21,76.67,13.87,0.0,33.0,2024-12-06T19:44:32.116366,2024-12-06T19:44:32.947841,0.83,https://explorer.shimmer.network/testnet/block/0x2b21308b6a3ff3586d232827adcb61fe251ee56970e9d16abe488b82ff60c5d1,True
0x951a44b73ba2902629a442a6ef6d396589a3a04a80b48ad3521226b389d8bd57,device-esp32-tfe,2024-12-06T19:45:09.213351,14.19,76.91,14.0,0.0,33.0,2024-12-06T19:45:08.779505,2024-12-06T19:45:09.347504,0.57,https://explorer.shimmer.network/testnet/block/0x951a44b73ba2902629a442a6ef6d396589a3a04a80b48ad3521226b389d8bd57,True
0xb4f40b6879b5bdc22f642c32214d9a4ff0b78ba1fd02eb8dd8d02723debbf128,device-esp32-tfe,2024-12-06T19:45:54.170815,14.18,77.08,13.81,0.0,33.0,2024-12-06T19:45:50.064891,2024-12-06T19:45:54.276036,4.21,https://explorer.shimmer.network/testnet/block/0xb4f40b6879b5bdc22f642c32214d9a4ff0b78ba1fd02eb8dd8d02723debbf128,True
0x935bde7f234bb482dc62f5f4303fa9c627bc71e89a0cb0e476c17d5121745135,device-esp32-tfe,2024-12-06T19:46:29.878907,14.17,77.09,14.06,0.0,33.0,2024-12-06T19:46:28.796084,2024-12-06T19:46:30.021137,1.23,https://explorer.shimmer.network/testnet/block/0x935bde7f234bb482dc62f5f4303fa9c627bc71e89a0cb0e476c17d5121745135,True
0xb0349ea488d58ca86993a1b63bab2a15642190f69a18fd69db387ba367891edb,device-esp32-tfe,2024-12-06T19:47:05.130568,14.14,76.98,14.0,0.0,33.0,2024-12-06T19:47:04.326839,2024-12-06T19:47:05.257557,0.93,https://explorer.shimmer.network/testnet/block/0xb0349ea488d58ca86993a1b63bab2a15642190f69a18fd69db387ba367891edb,True
0x049b11a13eb741f8166da92ee0e0e71909810fe23303b64b0509d9886a057cf3,device-esp32-tfe,2024-12-06T19:47:44.937205,14.11,76.86,13.93,0.0,33.0,2024-12-06T19:47:44.501970,2024-12-06T19:47:45.053296,0.55,https://explorer.shimmer.network/testnet/block/0x049b11a13eb741f8166da92ee0e0e71909810fe23303b64b0509d9886a057cf3,True
0x6c6bf9e4acf8f8bfafb26ef14b9461d26b9091bcbc24fbad34fd0853c7f0137b,device-esp32-tfe,2024-12-06T19:48:25.259086,14.09,76.99,14.0,0.0,33.0,2024-12-06T19:48:24.727777,2024-12-06T19:48:25.366636,0.64,https://explorer.shimmer.network/testnet/block/0x6c6bf9e4acf8f8bfafb26ef14b9461d26b9091bcbc24fbad34fd0853c7f0137b,True
0x26bf1f41fb61d5f07133068fdacc891a12c0ec085548c45434bf89701d17ff6f,device-esp32-tfe,2024-12-06T19:49:02.536295,14.06,77.15,14.0,0.0,33.0,2024-12-06T19:48:59.030518,2024-12-06T19:49:02.670717,3.64,https://explorer.shimmer.network/testnet/block/0x26bf1f41fb61d5f07133068fdacc891a12c0ec085548c45434bf89701d17ff6f,True
0x0168659912060d8d062cf33ec2c8cccec274e0a7f8a7447a98950b66bdb704ad,device-esp32-tfe,2024-12-06T19:49:35.015036,14.05,77.29,13.81,0.0,33.0,2024-12-06T19:49:34.681588,2024-12-06T19:49:35.130656,0.45,https://explorer.shimmer.network/testnet/block/0x0168659912060d8d062cf33ec2c8cccec274e0a7f8a7447a98950b66bdb704ad,True
0x2273eee6d72aa2bd0aa776e28ca0af31a3e10bb92ef9fca911d1daee1f4d1a06,device-esp32-tfe,2024-12-06T19:51:18.902143,14.03,77.39,14.0,0.0,33.0,2024-12-06T19:51:18.505779,2024-12-06T19:51:19.021744,0.52,https://explorer.shimmer.network/testnet/block/0x2273eee6d72aa2bd0aa776e28ca0af31a3e10bb92ef9fca911d1daee1f4d1a06,True
0x948ed562545fbb352432f8c7267e78b67a433b2f466cc46594c0f48b4a58ea5b,device-esp32-tfe,2024-12-06T19:53:03.832745,13.96,77.2,13.81,0.0,33.0,2024-12-06T19:53:03.070299,2024-12-06T19:53:03.966735,0.9,https://explorer.shimmer.network/testnet/block/0x948ed562545fbb352432f8c7267e78b67a433b2f466cc46594c0f48b4a58ea5b,True
0xd2311907d0252b58f56abfb83e087dd54fb73c62aaee90c5f47b837749e14432,device-esp32-tfe,2024-12-06T19:53:41.245381,13.89,77.44,13.93,0.0,33.0,2024-12-06T19:53:40.896058,2024-12-06T19:53:41.388561,0.49,https://explorer.shimmer.network/testnet/block/0xd2311907d0252b58f56abfb83e087dd54fb73c62aaee90c5f47b837749e14432,True
0xaa689cf4fd97c6220f14bcf2bf51aa1c6a4d0a0f1ce70deeb65533085d485973,device-esp32-tfe,2024-12-06T19:55:23.020100,13.88,77.55,13.93,0.0,33.0,2024-12-06T19:55:21.881826,2024-12-06T19:55:23.134933,1.25,https://explorer.shimmer.network/testnet/block/0xaa689cf4fd97c6220f14bcf2bf51aa1c6a4d0a0f1ce70deeb65533085d485973,True
0x8deaeb18a084961aafe0038d28f9c41dd81d73d309b84ff55af1af5407b2b962,device-esp32-tfe,2024-12-06T19:55:59.422807,13.84,77.51,13.75,0.0,33.0,2024-12-06T19:55:59.091510,2024-12-06T19:55:59.544908,0.45,https://explorer.shimmer.network/testnet/block/0x8deaeb18a084961aafe0038d28f9c41dd81d73d309b84ff55af1af5407b2b962,True
0x6e01039ea20c9dbd71da1fc36ebe9932e96a3819107ead2424919ff4f19903e4,device-esp32-tfe,2024-12-06T19:56:38.288023,13.83,77.62,13.93,0.0,33.0,2024-12-06T19:56:37.272448,2024-12-06T19:56:38.390129,1.12,https://explorer.shimmer.network/testnet/block/0x6e01039ea20c9dbd71da1fc36ebe9932e96a3819107ead2424919ff4f19903e4,True
0xd71948f6a00b0766ddfc79fed43b6897ab15cfe2a9ed83093f7cdd8a2e63a3bb,device-esp32-tfe,2024-12-06T19:57:17.499948,13.82,77.77,13.93,0.0,33.0,2024-12-06T19:57:17.142281,2024-12-06T19:57:17.622602,0.48,https://explorer.shimmer.network/testnet/block/0xd71948f6a00b0766ddfc79fed43b6897ab15cfe2a9ed83093f7cdd8a2e63a3bb,True
